X2;Name;Bezeichnung;Kopierhier
Landkreis;Ahrweiler;NA;Ahrweiler, Landkreis
Landkreis;Aichach-Friedberg;NA;Aichach-Friedberg, Landkreis
Landkreis;Alb-Donau-Kreis;NA;Alb-Donau-Kreis, Landkreis
Landkreis;Altenburger Land;NA;Altenburger Land, Landkreis
Landkreis;Altenkirchen (Westerwald);NA;Altenkirchen (Westerwald), Landkreis
Landkreis;Altmarkkreis Salzwedel;NA;Altmarkkreis Salzwedel, Landkreis
Landkreis;Altötting;NA;Altötting, Landkreis
Landkreis;Alzey-Worms;NA;Alzey-Worms, Landkreis
Kreisfreie Stadt;Amberg;NA;Amberg, Kreisfreie Stadt
Landkreis;Amberg-Sulzbach;NA;Amberg-Sulzbach, Landkreis
Landkreis;Ammerland;NA;Ammerland, Landkreis
Landkreis;Anhalt-Bitterfeld;NA;Anhalt-Bitterfeld, Landkreis
Kreisfreie Stadt;Ansbach;NA;Ansbach, Kreisfreie Stadt
Landkreis;Ansbach;NA;Ansbach, Landkreis
Kreisfreie Stadt;Aschaffenburg;NA;Aschaffenburg, Kreisfreie Stadt
Landkreis;Aschaffenburg;NA;Aschaffenburg, Landkreis
Kreisfreie Stadt;Augsburg;NA;Augsburg, Kreisfreie Stadt
Landkreis;Augsburg;NA;Augsburg, Landkreis
Landkreis;Aurich;NA;Aurich, Landkreis
Landkreis;Bad Dürkheim;NA;Bad Dürkheim, Landkreis
Landkreis;Bad Kissingen;NA;Bad Kissingen, Landkreis
Landkreis;Bad Kreuznach;NA;Bad Kreuznach, Landkreis
Landkreis;Bad Tölz-Wolfratshausen;NA;Bad Tölz-Wolfratshausen, Landkreis
Stadtkreis;Baden-Baden;Stadtkreis;Baden-Baden, Stadtkreis
Kreisfreie Stadt;Bamberg;NA;Bamberg, Kreisfreie Stadt
Landkreis;Bamberg;NA;Bamberg, Landkreis
Landkreis;Barnim;NA;Barnim, Landkreis
Landkreis;Bautzen;NA;Bautzen, Landkreis
Kreisfreie Stadt;Bayreuth;NA;Bayreuth, Kreisfreie Stadt
Landkreis;Bayreuth;NA;Bayreuth, Landkreis
Landkreis;Berchtesgadener Land;NA;Berchtesgadener Land, Landkreis
Landkreis;Bergstraße;NA;Bergstraße, Landkreis
Kreisfreie Stadt;Berlin;Stadt;Berlin, Kreisfreie Stadt
Landkreis;Bernkastel-Wittlich;NA;Bernkastel-Wittlich, Landkreis
Landkreis;Biberach;NA;Biberach, Landkreis
Kreisfreie Stadt;Bielefeld;Stadt;Bielefeld, Kreisfreie Stadt
Landkreis;Birkenfeld;NA;Birkenfeld, Landkreis
Landkreis;Böblingen;NA;Böblingen, Landkreis
Kreisfreie Stadt;Bochum;Stadt;Bochum, Kreisfreie Stadt
Landkreis;Bodenseekreis;NA;Bodenseekreis, Landkreis
Kreisfreie Stadt;Bonn;Stadt;Bonn, Kreisfreie Stadt
Landkreis;Börde;NA;Börde, Landkreis
Kreis;Borken;NA;Borken, Kreis
Kreisfreie Stadt;Bottrop;Stadt;Bottrop, Kreisfreie Stadt
Kreisfreie Stadt;Brandenburg an der Havel;Stadt;Brandenburg an der Havel, Kreisfreie Stadt
Kreisfreie Stadt;Braunschweig;Stadt;Braunschweig, Kreisfreie Stadt
Landkreis;Breisgau-Hochschwarzwald;NA;Breisgau-Hochschwarzwald, Landkreis
