Construct;Indicator;Loadings;AVE;Calpha;rhoC;rhoA;1.in.HTMT.CI
Benevolence;CODI1;0.89;0.76;0.85;0.91;0.85;TRUE
Benevolence;CODI2;0.86;0.76;0.85;0.91;0.85;TRUE
Benevolence;CODI3;0.87;0.76;0.85;0.91;0.85;TRUE
Competence;CODI4;0.83;0.75;0.83;0.9;0.84;TRUE
Competence;CODI5;0.86;0.75;0.83;0.9;0.84;TRUE
Competence;CODI6;0.91;0.75;0.83;0.9;0.84;TRUE
Integrity;CODI7;0.88;0.71;0.8;0.88;0.8;TRUE
Integrity;CODI8;0.84;0.71;0.8;0.88;0.8;TRUE
Integrity;CODI9;0.81;0.71;0.8;0.88;0.8;TRUE
Knowledge;COKN;1;1;1;1;1;FALSE
Personal Moral Norm;COPN1;0.95;0.91;0.9;0.95;0.9;FALSE
Personal Moral Norm;COPN3;0.95;0.91;0.9;0.95;0.9;FALSE
