Stand: 12.01.2021 06:50:13;;;
;;;
;;;
Landkreis;LKNR;Anzahl;Inzidenz
StadtRegion Aachen;05334;735;132
LK Ahrweiler;07131;168;129
LK Aichach-Friedberg;09771;176;131
LK Alb-Donau-Kreis;08425;266;135
LK Altenburger Land;16077;410;459
LK Altenkirchen;07132;111;86
LK Altmarkkreis Salzwedel;15081;141;170
LK Altötting;09171;146;131
LK Alzey-Worms;07331;197;152
SK Amberg;09361;32;76
LK Amberg-Sulzbach;09371;94;91
LK Ammerland;03451;107;86
LK Anhalt-Bitterfeld;15082;334;211
SK Ansbach;09561;98;234
LK Ansbach;09571;207;112
SK Aschaffenburg;09661;115;162
LK Aschaffenburg;09671;317;182
SK Augsburg;09761;388;131
LK Augsburg;09772;465;183
LK Aurich;03452;153;81
LK Bad Dürkheim;07332;194;146
LK Bad Kissingen;09672;131;127
LK Bad Kreuznach;07133;321;203
LK Bad Tölz-Wolfratshausen;09173;164;128
SK Baden-Baden;08211;49;89
SK Bamberg;09461;62;80
LK Bamberg;09471;203;138
LK Barnim;12060;379;205
LK Bautzen;14625;1530;510
SK Bayreuth;09462;143;191
LK Bayreuth;09472;270;260
LK Berchtesgadener Land;09172;345;326
LK Bergstraße;06431;442;163
SK Berlin Charlottenburg-Wilmersdorf;11004;728;218
SK Berlin Friedrichshain-Kreuzberg;11002;344;122
SK Berlin Lichtenberg;11011;421;147
SK Berlin Marzahn-Hellersdorf;11010;553;210
SK Berlin Mitte;11001;559;149
SK Berlin Neukölln;11008;568;177
SK Berlin Pankow;11003;841;211
SK Berlin Reinickendorf;11012;489;188
SK Berlin Spandau;11005;647;271
SK Berlin Steglitz-Zehlendorf;11006;428;142
SK Berlin Tempelhof-Schöneberg;11007;727;213
SK Berlin Treptow-Köpenick;11009;568;213
LK Bernkastel-Wittlich;07231;112;100
LK Biberach;08426;254;126
SK Bielefeld;05711;798;239
LK Birkenfeld;07134;97;120
LK Bitburg-Prüm;07232;80;81
LK Böblingen;08115;437;111
SK Bochum;05911;563;154
LK Bodenseekreis;08435;409;188
SK Bonn;05314;392;119
LK Börde;15083;222;130
LK Borken;05554;340;92
SK Bottrop;05512;249;212
SK Brandenburg a.d.Havel;12051;108;150
SK Braunschweig;03101;234;94
LK Breisgau-Hochschwarzwald;08315;276;105
SK Bremen;04011;512;90
SK Bremerhaven;04012;76;67
LK Burgenlandkreis;15084;654;366
LK Calw;08235;326;205
LK Celle;03351;175;98
LK Cham;09372;284;222
SK Chemnitz;14511;645;262
LK Cloppenburg;03453;310;182
SK Coburg;09463;134;326
LK Coburg;09473;226;261
LK Cochem-Zell;07135;62;101
LK Coesfeld;05558;165;75
SK Cottbus;12052;283;284
LK Cuxhaven;03352;193;97
LK Dachau;09174;182;117
LK Dahme-Spreewald;12061;364;213
SK Darmstadt;06411;197;123
LK Darmstadt-Dieburg;06432;395;133
LK Deggendorf;09271;336;281
SK Delmenhorst;03401;91;117
SK Dessau-Roßlau;15001;186;232
LK Diepholz;03251;209;96
LK Dillingen a.d.Donau;09773;151;156
LK Dingolfing-Landau;09279;175;181
LK Dithmarschen;01051;83;62
LK Donau-Ries;09779;312;233
LK Donnersbergkreis;07333;117;155
SK Dortmund;05913;871;148
SK Dresden;14612;1275;229
SK Duisburg;05112;836;168
LK Düren;05358;313;118
SK Düsseldorf;05111;690;111
LK Ebersberg;09175;298;207
LK Eichsfeld;16061;417;417
LK Eichstätt;09176;183;138
SK Eisenach;16056;118;279
LK Elbe-Elster;12062;466;458
SK Emden;03402;28;56
LK Emmendingen;08316;188;113
LK Emsland;03454;435;133
LK Ennepe-Ruhr-Kreis;05954;442;136
LK Enzkreis;08236;356;178
LK Erding;09177;175;127
SK Erfurt;16051;409;191
SK Erlangen;09562;97;86
LK Erlangen-Höchstadt;09572;157;114
LK Erzgebirgskreis;14521;1302;389
SK Essen;05113;869;149
LK Esslingen;08116;719;134
LK Euskirchen;05366;256;132
SK Flensburg;01001;114;126
LK Forchheim;09474;178;153
SK Frankenthal;07311;63;129
SK Frankfurt (Oder);12053;130;225
SK Frankfurt am Main;06412;965;126
SK Freiburg i.Breisgau;08311;242;105
LK Freising;09178;148;82
LK Freudenstadt;08237;186;157
LK Freyung-Grafenau;09272;151;193
LK Friesland;03455;55;56
LK Fulda;06631;743;333
LK Fürstenfeldbruck;09179;262;119
SK Fürth;09563;284;221
LK Fürth;09573;175;148
LK Garmisch-Partenkirchen;09180;120;136
SK Gelsenkirchen;05513;618;238
SK Gera;16052;238;256
LK Germersheim;07334;183;142
LK Gießen;06531;641;237
LK Gifhorn;03151;389;220
LK Göppingen;08117;289;112
LK Görlitz;14626;1010;400
LK Goslar;03153;113;83
LK Gotha;16067;399;296
LK Göttingen;03159;290;89
LK Grafschaft Bentheim;03456;202;147
LK Greiz;16076;296;304
LK Groß-Gerau;06433;465;169
LK Günzburg;09774;155;122
LK Gütersloh;05754;710;195
SK Hagen;05914;302;160
SK Halle;15002;783;328
SK Hamburg;02000;2347;127
LK Hameln-Pyrmont;03252;166;112
SK Hamm;05915;290;161
Region Hannover;03241;1874;162
LK Harburg;03353;266;105
LK Harz;15085;298;140
LK Haßberge;09674;166;197
LK Havelland;12063;414;254
LK Heidekreis;03358;162;115
SK Heidelberg;08221;217;134
LK Heidenheim;08135;162;122
SK Heilbronn;08121;266;210
LK Heilbronn;08125;419;122
LK Heinsberg;05370;355;139
LK Helmstedt;03154;161;176
LK Herford;05758;444;177
SK Herne;05916;309;198
LK Hersfeld-Rotenburg;06632;264;219
LK Herzogtum Lauenburg;01053;227;115
LK Hildburghausen;16069;333;527
LK Hildesheim;03254;419;152
LK Hochsauerlandkreis;05958;284;109
LK Hochtaunuskreis;06434;212;89
SK Hof;09464;98;214
LK Hof;09475;177;187
LK Hohenlohekreis;08126;126;112
LK Holzminden;03255;53;75
LK Höxter;05762;327;233
LK Ilm-Kreis;16070;291;274
SK Ingolstadt;09161;267;194
SK Jena;16053;219;197
LK Jerichower Land;15086;133;148
SK Kaiserslautern;07312;190;190
LK Kaiserslautern;07335;185;175
SK Karlsruhe;08212;314;101
LK Karlsruhe;08215;579;130
SK Kassel;06611;280;139
LK Kassel;06633;304;128
