Construct;Indicator;C.V.R^2;C.V.PC;VIF;Original.Est.Wt.;Bootstrap.Mean.Wt.;t(437) (weight);0.in.Wt.CI;Original.Est.Ld.;Bootstrap.Mean.Ld.;t(437) (loading);0.in.Ld.CI
Perceived Response Efficacy;CORB4;0.59;0.76;2.19;0.48;0.48;7.17;FALSE;0.91;0.91;38.58;FALSE
Perceived Response Efficacy;CORB5;0.59;0.76;1.44;0.23;0.23;4.46;FALSE;0.7;0.7;19.5;FALSE
Perceived Response Efficacy;CORB6;0.59;0.76;2.24;0.44;0.44;6.86;FALSE;0.91;0.9;37.95;FALSE
Perceived Response Costs;CORB7;0.55;0.74;1.57;0.19;0.19;2.06;FALSE;0.71;0.71;11.1;FALSE
Perceived Response Costs;CORB8;0.55;0.74;1.33;0.34;0.33;3.82;FALSE;0.73;0.72;11.15;FALSE
Perceived Response Costs;CORB9;0.55;0.74;1.78;0.66;0.65;7.28;FALSE;0.94;0.93;31.17;FALSE
Descriptive Norm;CODN1;0.67;0.82;1.73;0.4;0.39;3.9;FALSE;0.85;0.85;18.94;FALSE
Descriptive Norm;CODN2;0.67;0.82;1.73;0.69;0.7;7.81;FALSE;0.95;0.95;34.73;FALSE
Behavioral Intention;COBI1;0.74;0.86;1.72;0.41;0.41;6.44;FALSE;0.84;0.84;23.24;FALSE
Behavioral Intention;COBI2;0.74;0.86;1.17;0.28;0.28;5.4;FALSE;0.61;0.61;13.48;FALSE
Behavioral Intention;COBI3;0.74;0.86;1.74;0.54;0.54;8.79;FALSE;0.9;0.89;33;FALSE
