Construct.1;Construct.2;Lower.CI;Upper.CI
Knowledge;Personal Moral Norm;0.21;0.43
Knowledge;Copula Perceived Response Efficacy;0.09;0.27
Personal Moral Norm;Copula Perceived Response Efficacy;0.48;0.58
Knowledge;Personal Moral Norm;0.21;0.43
Knowledge;Copula Perceived Response Efficacy;0.09;0.27
Knowledge;Benevolence;0.15;0.39
Knowledge;Competence;0.21;0.43
Knowledge;Integrity;0.24;0.46
Personal Moral Norm;Copula Perceived Response Efficacy;0.48;0.58
Personal Moral Norm;Benevolence;0.61;0.76
Personal Moral Norm;Competence;0.6;0.76
Personal Moral Norm;Integrity;0.58;0.74
Copula Perceived Response Efficacy;Benevolence;0.38;0.55
Copula Perceived Response Efficacy;Competence;0.44;0.59
Copula Perceived Response Efficacy;Integrity;0.43;0.59
Benevolence;Competence;0.92;1.01
Benevolence;Integrity;0.98;1.07
Competence;Integrity;0.98;1.07
