Construct;Indicator;C.V.R.2;C.V.PC;VIF;Original.Est.Wt.;Bootstrap.Mean.Wt.;t(437) (weight);0.in.Wt.CI;Original.Est.Ld.;Bootstrap.Mean.Ld.;t(437) (loading);0.in.Ld.CI
Perceived Response Efficacy;CORB4;0.59;0.76;2.19;0.48;0.48;7.14;FALSE;0.91;0.91;38.74;FALSE
Perceived Response Efficacy;CORB5;0.59;0.76;1.44;0.23;0.22;4.22;FALSE;0.7;0.69;19.05;FALSE
Perceived Response Efficacy;CORB6;0.59;0.76;2.24;0.44;0.44;6.93;FALSE;0.91;0.91;38.5;FALSE
Perceived Response Costs;CORB7;0.55;0.74;1.57;0.2;0.2;2.07;FALSE;0.71;0.71;10.98;FALSE
Perceived Response Costs;CORB8;0.55;0.74;1.33;0.33;0.33;3.7;FALSE;0.73;0.72;10.95;FALSE
Perceived Response Costs;CORB9;0.55;0.74;1.78;0.66;0.65;7.34;FALSE;0.94;0.93;30.99;FALSE
Descriptive Norm;CODN1;0.67;0.82;1.73;0.4;0.39;3.76;FALSE;0.85;0.84;18.74;FALSE
Descriptive Norm;CODN2;0.67;0.82;1.73;0.7;0.7;7.6;FALSE;0.95;0.95;33.51;FALSE
Behavioral Intention;COBI1;0.74;0.86;1.72;0.42;0.42;6.66;FALSE;0.85;0.85;23.9;FALSE
Behavioral Intention;COBI2;0.74;0.86;1.17;0.27;0.27;5.01;FALSE;0.6;0.6;13.06;FALSE
Behavioral Intention;COBI3;0.74;0.86;1.74;0.54;0.54;8.79;FALSE;0.9;0.9;32.99;FALSE
